node_i,node_j,weight
17,119,0.5777512
23,25,0.5744323
115,116,0.54914415
8,107,0.54002076
44,149,0.53717655
10,110,0.5334694
19,121,0.53214955
9,108,0.53150856
15,115,0.52975047
28,132,0.5295425
136,146,0.52570945
111,113,0.524118
12,111,0.5216762
183,195,0.5203176
22,23,0.5179848
15,116,0.5150222
95,197,0.51460016
9,109,0.5124578
18,120,0.5111936
35,62,0.5080892
13,103,0.5080137
195,196,0.50692713
103,108,0.5057011
110,111,0.5020332
20,124,0.50104076
102,110,0.49941364
35,138,0.49935597
17,154,0.49761012
12,108,0.49553913
13,111,0.49539897
33,136,0.49461192
119,154,0.49352527
13,114,0.49317336
104,110,0.49258086
46,154,0.49087074
14,15,0.48898897
126,128,0.48814118
108,112,0.48691165
17,120,0.48624396
22,123,0.48502463
119,120,0.48409355
96,198,0.48214275
24,34,0.4811209
81,96,0.4805823
23,26,0.4802041
33,42,0.4798051
12,113,0.47937107
138,140,0.47805014
34,123,0.47773352
9,112,0.4777159
4,8,0.47703862
10,13,0.47565916
147,149,0.4752036
12,13,0.47489867
18,49,0.47372827
3,103,0.47259504
39,143,0.47194412
28,131,0.47137567
33,138,0.47109842
103,111,0.4708835
17,20,0.47084185
73,184,0.47069266
120,121,0.47060382
13,108,0.47041315
24,39,0.4702905
25,26,0.47028452
73,75,0.4686116
52,156,0.46769187
108,111,0.4676762
67,171,0.4675475
146,171,0.46719143
48,154,0.46696866
70,176,0.46688762
10,111,0.46685082
38,142,0.4664973
10,102,0.46559092
102,103,0.4654682
66,173,0.465399
22,25,0.46538985
115,152,0.46534073
17,121,0.46503493
120,154,0.46492082
164,170,0.4642237
22,34,0.46406528
44,67,0.46334782
46,149,0.4631671
1,102,0.46255478
137,171,0.46252558
24,27,0.46203563
33,35,0.46181232
141,166,0.46172604
115,118,0.46102998
109,112,0.4602571
131,132,0.46008962
62,138,0.45909566
108,109,0.45878628
154,155,0.45873496
149,156,0.45834127
20,121,0.45803204
11,112,0.45791045
23,123,0.4567646
98,199,0.45655483
128,133,0.45580447
1,10,0.45525095
24,53,0.45499665
35,37,0.45495796
25,34,0.45472872
44,46,0.45434725
183,197,0.45404354
13,102,0.4536455
4,107,0.45266643
35,140,0.45249835
14,115,0.45201033
49,154,0.45176795
44,147,0.4514906
49,120,0.45147642
102,111,0.4514556
9,11,0.45107242
138,146,0.45106232
42,136,0.45014432
17,49,0.449315
29,133,0.4492502
46,48,0.44912472
73,90,0.44852924
22,26,0.4481701
103,114,0.44787496
88,90,0.4478673
9,103,0.4470573
79,197,0.4468082
3,9,0.44643775
26,125,0.44636634
12,103,0.44547117
129,143,0.44523168
9,12,0.44470838
61,65,0.44457915
49,155,0.4444449
25,123,0.44429538
193,198,0.44421372
120,152,0.44386783
15,16,0.4437873
9,106,0.44297254
108,113,0.44292954
10,114,0.44288343
154,157,0.4425297
27,130,0.44234508
79,95,0.4421733
136,138,0.4421699
103,112,0.44194826
123,126,0.44176608
28,133,0.4412988
