node_i,node_j,weight,roi_i_name,roi_i_network,roi_j_name,roi_j_network
17.0,119.0,0.5777512,Parcel_17,unknown,Parcel_119,unknown
23.0,25.0,0.5744323,Parcel_23,unknown,Parcel_25,unknown
115.0,116.0,0.54914415,Parcel_115,unknown,Parcel_116,unknown
8.0,107.0,0.54002076,Parcel_8,unknown,Parcel_107,unknown
44.0,149.0,0.53717655,Parcel_44,unknown,Parcel_149,unknown
10.0,110.0,0.5334694,Parcel_10,unknown,Parcel_110,unknown
19.0,121.0,0.53214955,Parcel_19,unknown,Parcel_121,unknown
9.0,108.0,0.53150856,Parcel_9,unknown,Parcel_108,unknown
15.0,115.0,0.52975047,Parcel_15,unknown,Parcel_115,unknown
28.0,132.0,0.5295425,Parcel_28,unknown,Parcel_132,unknown
136.0,146.0,0.52570945,Parcel_136,unknown,Parcel_146,unknown
111.0,113.0,0.524118,Parcel_111,unknown,Parcel_113,unknown
12.0,111.0,0.5216762,Parcel_12,unknown,Parcel_111,unknown
183.0,195.0,0.5203176,Parcel_183,unknown,Parcel_195,unknown
22.0,23.0,0.5179848,Parcel_22,unknown,Parcel_23,unknown
15.0,116.0,0.5150222,Parcel_15,unknown,Parcel_116,unknown
95.0,197.0,0.51460016,Parcel_95,unknown,Parcel_197,unknown
9.0,109.0,0.5124578,Parcel_9,unknown,Parcel_109,unknown
18.0,120.0,0.5111936,Parcel_18,unknown,Parcel_120,unknown
35.0,62.0,0.5080892,Parcel_35,unknown,Parcel_62,unknown
13.0,103.0,0.5080137,Parcel_13,unknown,Parcel_103,unknown
195.0,196.0,0.50692713,Parcel_195,unknown,Parcel_196,unknown
103.0,108.0,0.5057011,Parcel_103,unknown,Parcel_108,unknown
110.0,111.0,0.5020332,Parcel_110,unknown,Parcel_111,unknown
20.0,124.0,0.50104076,Parcel_20,unknown,Parcel_124,unknown
102.0,110.0,0.49941364,Parcel_102,unknown,Parcel_110,unknown
35.0,138.0,0.49935597,Parcel_35,unknown,Parcel_138,unknown
17.0,154.0,0.49761012,Parcel_17,unknown,Parcel_154,unknown
12.0,108.0,0.49553913,Parcel_12,unknown,Parcel_108,unknown
13.0,111.0,0.49539897,Parcel_13,unknown,Parcel_111,unknown
33.0,136.0,0.49461192,Parcel_33,unknown,Parcel_136,unknown
119.0,154.0,0.49352527,Parcel_119,unknown,Parcel_154,unknown
13.0,114.0,0.49317336,Parcel_13,unknown,Parcel_114,unknown
104.0,110.0,0.49258086,Parcel_104,unknown,Parcel_110,unknown
46.0,154.0,0.49087074,Parcel_46,unknown,Parcel_154,unknown
14.0,15.0,0.48898897,Parcel_14,unknown,Parcel_15,unknown
126.0,128.0,0.48814118,Parcel_126,unknown,Parcel_128,unknown
108.0,112.0,0.48691165,Parcel_108,unknown,Parcel_112,unknown
17.0,120.0,0.48624396,Parcel_17,unknown,Parcel_120,unknown
22.0,123.0,0.48502463,Parcel_22,unknown,Parcel_123,unknown
119.0,120.0,0.48409355,Parcel_119,unknown,Parcel_120,unknown
96.0,198.0,0.48214275,Parcel_96,unknown,Parcel_198,unknown
24.0,34.0,0.4811209,Parcel_24,unknown,Parcel_34,unknown
81.0,96.0,0.4805823,Parcel_81,unknown,Parcel_96,unknown
23.0,26.0,0.4802041,Parcel_23,unknown,Parcel_26,unknown
33.0,42.0,0.4798051,Parcel_33,unknown,Parcel_42,unknown
12.0,113.0,0.47937107,Parcel_12,unknown,Parcel_113,unknown
138.0,140.0,0.47805014,Parcel_138,unknown,Parcel_140,unknown
34.0,123.0,0.47773352,Parcel_34,unknown,Parcel_123,unknown
9.0,112.0,0.4777159,Parcel_9,unknown,Parcel_112,unknown
